,Rookie Year,Name,rpts,rrebs,rasts,rstls,rblks,rtos,rmin,rgamp,rgams,rfg%,rft%,r3fg%,rWS/48,rBPM,rPER,rTS%,rVORP,pts,rebs,asts,stls,blks,tos,fg%,ft%,3fg%,WS/48,BPM,PER,TS%,VORP,2kRank
40,2011,Landry Fields,11.29161747,7.381345927,2.195985832,1.133412043,0.240850059,1.515938607,2541,82,81,0.496677741,0.768707483,0.392694064,0.1,0.6,13.5,0.598,1.7,7.602484472,6.596273292,2.236024845,1.118012422,0.335403727,1.229813665,0.402985075,0.636363636,0,0.057,-2.9,8.6,0.443,-0.1,69
41,2011,Paul George,13.54624506,6.374703557,1.849802372,1.764426877,0.739920949,1.992094862,1265,61,19,0.453164557,0.762376238,0.297101449,0.091,0,13,0.542,0.6,21.57763975,6.732919255,3.51552795,1.875776398,0.273291926,2.782608696,0.423641703,0.864224138,0.364,0.178,4.7,20.1,0.555,4.9,89
42,2011,Blake Griffin,21.34318766,11.44087404,3.609254499,0.728791774,0.520565553,2.579691517,3112,82,82,0.505813954,0.641726619,0.291666667,0.152,3.2,21.9,0.549,4,24.26825009,9.518686692,3.885434859,1.156828502,0.641285365,2.816625917,0.528329654,0.715133531,0.272727273,0.205,4.6,23.9,0.583,4.8,89
43,2011,Gordon Hayward,11.4679803,4.108374384,2.39408867,0.886699507,0.561576355,2.068965517,1218,72,17,0.484641638,0.711340206,0.472972973,0.048,-2.8,10.7,0.578,-0.2,16.04571429,5.027142857,5.142857143,1.414285714,0.514285714,2.725714286,0.412790698,0.816272966,0.303571429,0.062,1,16.2,0.52,2.1,79
44,2011,Xavier Henry,11.27134725,2.527514231,1.229601518,0.75142315,0.204933586,0.888045541,527,38,16,0.40625,0.634615385,0.117647059,0.021,-6,7,0.451,-0.5,17.1277533,4.519823789,2.022026432,1.744493392,0.27753304,2.259911894,0.417391304,0.655367232,0.345679012,0.017,-3.6,12.3,0.511,-0.4,73
45,2011,Wesley Johnson,12.33639439,4.175930401,2.575157081,1.00918318,0.93958434,1.65297245,2069,79,63,0.397360704,0.695652174,0.356401384,0.03,-1.6,10.2,0.491,0.2,11.49107143,5.592857143,1.992857143,1.382142857,1.2375,1.446428571,0.425499232,0.792207792,0.36900369,0.041,0.2,11,0.522,1.2,73
46,2011,Greg Monroe,12.16741674,9.737173717,1.701170117,1.506750675,0.729072907,1.312331233,2222,80,48,0.550909091,0.622317597,0,0.143,2.5,18,0.575,2.5,16.71524164,10.17100372,2.288475836,1.217843866,0.628996283,2.221561338,0.496551724,0.656675749,0,0.106,0.3,18.1,0.531,1.6,80
47,2011,Timofey Mozgov,10.61135371,8.174672489,1.179039301,1.100436681,1.807860262,2.515283843,458,34,14,0.464285714,0.704545455,0,0.044,-3.6,10.3,0.514,-0.2,15.66101695,10.73898305,1.261016949,0.549152542,2.033898305,2.481355932,0.52293578,0.753846154,0.166666667,0.123,-0.5,16.7,0.584,0.7,74
48,2011,Gary Neal,16.72878338,4.187537092,2.051038576,0.576854599,0.085459941,1.666468843,1685,80,1,0.450949367,0.807692308,0.418831169,0.099,-1.1,13.1,0.578,0.4,17.85172982,2.965403624,2.728171334,0.415156507,0,2.313014827,0.389891697,0.833333333,0.36036036,-0.012,-6.8,11.2,0.5,-0.7,75
49,2011,Patrick Patterson,13.60368664,8.294930876,1.700460829,0.705069124,1.534562212,1.285714286,868,52,6,0.558052435,0.714285714,0,0.134,0.5,16.7,0.574,0.5,14.07155635,7.824686941,2.02862254,1.352415027,1.094812165,1.577817531,0.476839237,0.745454546,0.410714286,0.147,2.8,16.2,0.559,1.4,75
50,2011,Nikola Peković,14.57046223,7.833145434,1.095828636,0.730552424,1.420518602,3.693348365,887,65,11,0.517110266,0.763157895,0,0.035,-3.9,11.2,0.573,-0.4,20.43535779,10.13108839,1.082381239,0.649428743,0.49789537,1.818400481,0.540656205,0.746987952,0,0.169,0.2,20.7,0.582,0.9,81
51,2011,Kevin Séraphin,8.730708661,8.617322835,0.566929134,0.963779528,1.587401575,2.381102362,635,58,1,0.448979592,0.709677419,0,0.017,-4.5,8.4,0.479,-0.4,15.50865052,7.972318339,1.058823529,0.186851211,1.619377163,2.553633218,0.504545455,0.870967742,0,0.066,-5.2,12.5,0.533,-0.5,74
