,Rookie Year,Name,rpts,rrebs,rasts,rstls,rblks,rmin,rgamp,rgams,rfg%,rft%,r3fg%,rWS/48,rBPM,rPER,rTS%,rVORP,pts,rebs,asts,stls,blks,fg%,ft%,3fg%,WS/48,BPM,PER,TS%,VORP,rtos,tos,Tier1,Tier2,Tier3,Tier4,Tier5
36,2011,DeMarcus Cousins,17.8207016,10.89822434,3.180597661,1.325249026,1.06019922,2309,81,62,0.4302788845,0.6865671642,0.1666666667,0.022,-1.4,14.6,0.484,0.4,25.2845953,13.01827676,3.242819843,1.707571802,1.425587467,0.4962216625,0.7260504202,0,0.166,4.7,26.1,0.555,3.9,4.178432222,3.932114883,0,0,0,1,0
37,2011,Ed Davis,11.25842697,10.38202247,0.8988764045,0.8764044944,1.505617978,1602,65,17,0.5764075067,0.5546875,0,0.119,0.3,15.8,0.583,0.9,13.44351464,9.790794979,1.016736402,0.640167364,1.619246862,0.5344827586,0.5280898876,0,0.129,-1.3,15.9,0.542,0.2,1.078651685,1.506276151,0,1,0,0,0
38,2011,Jeremy Evans,13.84017279,7.542116631,1.866090713,1.321814255,1.321814255,463,49,3,0.6608695652,0.7027027027,0,0.167,1.2,18.8,0.678,0.4,11.94044665,9.230769231,1.310173697,1.250620347,1.369727047,0.5271084337,0.68,0,0.112,-0.1,16.2,0.549,0.6,1.477321814,1.191066998,1,0,0,0,0
39,2011,Derrick Favors,11.64802933,9.800183318,0.6929422548,0.5939505041,1.352887259,1091,56,23,0.5108695652,0.6120689655,0,0.083,-2.7,12.6,0.54,-0.2,15.86551567,10.4189005,1.488414357,1.226715129,1.766469786,0.5220883534,0.6690140845,0,0.112,0.7,19,0.556,1.5,1.847846013,2.109950023,0,0,1,0,0
40,2011,Landry Fields,11.29161747,7.381345927,2.195985832,1.133412043,0.240850059,2541,82,81,0.4966777409,0.768707483,0.3926940639,0.1,0.6,13.5,0.598,1.7,7.602484472,6.596273292,2.236024845,1.118012422,0.3354037267,0.4029850746,0.6363636364,0,0.057,-2.9,8.6,0.443,-0.1,1.515938607,1.229813665,1,0,0,0,0
41,2011,Paul George,13.54624506,6.374703557,1.849802372,1.764426877,0.7399209486,1265,61,19,0.453164557,0.7623762376,0.2971014493,0.091,0,13,0.542,0.6,21.57763975,6.732919255,3.51552795,1.875776398,0.2732919255,0.4236417034,0.8642241379,0.364,0.178,4.7,20.1,0.555,4.9,1.992094862,2.782608696,0,0,0,0,1
42,2011,Blake Griffin,21.34318766,11.44087404,3.609254499,0.7287917738,0.5205655527,3112,82,82,0.5058139535,0.6417266187,0.2916666667,0.152,3.2,21.9,0.549,4,24.26825009,9.518686692,3.885434859,1.156828502,0.641285365,0.5283296542,0.7151335312,0.2727272727,0.205,4.6,23.9,0.583,4.8,2.579691517,2.816625917,0,0,0,0,1
43,2011,Gordon Hayward,11.4679803,4.108374384,2.39408867,0.8866995074,0.5615763547,1218,72,17,0.4846416382,0.7113402062,0.472972973,0.048,-2.8,10.7,0.578,-0.2,16.04571429,5.027142857,5.142857143,1.414285714,0.5142857143,0.4127906977,0.8162729659,0.3035714286,0.062,1,16.2,0.52,2.1,2.068965517,2.725714286,0,0,1,0,0
44,2011,Xavier Henry,11.27134725,2.527514231,1.229601518,0.7514231499,0.2049335863,527,38,16,0.40625,0.6346153846,0.1176470588,0.021,-6,7,0.451,-0.5,17.1277533,4.519823789,2.022026432,1.744493392,0.2775330396,0.4173913043,0.6553672316,0.3456790123,0.017,-3.6,12.3,0.511,-0.4,0.8880455408,2.259911894,0,1,0,0,0
45,2011,Wesley Johnson,12.33639439,4.175930401,2.575157081,1.00918318,0.9395843403,2069,79,63,0.3973607038,0.6956521739,0.3564013841,0.03,-1.6,10.2,0.491,0.2,11.49107143,5.592857143,1.992857143,1.382142857,1.2375,0.425499232,0.7922077922,0.36900369,0.041,0.2,11,0.522,1.2,1.65297245,1.446428571,0,0,1,0,0
46,2011,Greg Monroe,12.16741674,9.737173717,1.701170117,1.506750675,0.7290729073,2222,80,48,0.5509090909,0.6223175966,0,0.143,2.5,18,0.575,2.5,16.71524164,10.17100372,2.288475836,1.217843866,0.6289962825,0.4965517241,0.6566757493,0,0.106,0.3,18.1,0.531,1.6,1.312331233,2.221561338,0,0,1,0,0
47,2011,Timofey Mozgov,10.61135371,8.174672489,1.179039301,1.100436681,1.807860262,458,34,14,0.4642857143,0.7045454545,0,0.044,-3.6,10.3,0.514,-0.2,15.66101695,10.73898305,1.261016949,0.5491525424,2.033898305,0.5229357798,0.7538461538,0.1666666667,0.123,-0.5,16.7,0.584,0.7,2.515283843,2.481355932,0,1,0,0,0
48,2011,Gary Neal,16.72878338,4.187537092,2.051038576,0.5768545994,0.08545994065,1685,80,1,0.4509493671,0.8076923077,0.4188311688,0.099,-1.1,13.1,0.578,0.4,17.85172982,2.965403624,2.728171334,0.4151565074,0,0.3898916968,0.8333333333,0.3603603604,-0.012,-6.8,11.2,0.5,-0.7,1.666468843,2.313014827,0,1,0,0,0
